"Photo","MLS #","Status","Address","Subdivision-Free Text","Living Area","Year Built","Bedrooms Total","Bathrooms Full","Bathrooms Half","Property Sub Type","List Price","Close Price","Close Date","Days On Market","Price Per SQFT","Lot Size Acres"
"https://cdn.photos.sparkplatform.com/tri/20240605152841050428000000-o.jpg?preset=thumb","10033790","Closed","26 S Circle Drive","Dogwood Acres","1344","1957","3","1","1","Single Family Residence","$420,000","$425,000","7/1/2024","4","$316.22","0.49"
"https://cdn.photos.sparkplatform.com/tri/20251009194419999012000000-o.jpg?preset=thumb","10127141","Closed","409 Lindsay Street","Not in a Subdivision","1429","1956","2","2","0","Single Family Residence","$425,000","$425,000","11/19/2025","5","$297.41","0.30"
"https://cdn.photos.sparkplatform.com/tri/20240808145017623668000000-o.jpg?preset=thumb","10045777","Closed","117 Cole Street","Cole Heights","1403","1952","3","1","0","Single Family Residence","$399,000","$425,000","9/10/2024","5","$302.92","0.11"
"https://cdn.photos.sparkplatform.com/tri/20231022232233285082000000-o.jpg?preset=thumb","2538472","Closed","109 Scarlett Drive","Not in a Subdivision","2121","1956","3","1","1","Single Family Residence","$450,000","$425,000","12/20/2023","7","$200.38","0.43"
"https://cdn.photos.sparkplatform.com/tri/20250312204823762270000000-o.jpg?preset=thumb","10081829","Closed","416 Hickory Drive","Ridgefield","1220","1956","3","1","0","Single Family Residence","$385,000","$426,000","4/3/2025","3","$349.18","0.26"
"https://cdn.photos.sparkplatform.com/tri/20230809060755864434000000-o.jpg?preset=thumb","2500456","Closed","446 Robin Road","Robins Wood","1694","1977","3","2","0","Single Family Residence","$439,900","$427,500","4/21/2023","4","$252.36","1.31"
"https://cdn.photos.sparkplatform.com/tri/20230809004219450155000000-o.jpg?preset=thumb","2501151","Closed","227 N Roberson Street","Northside","1081","1948","2","2","0","Single Family Residence","$400,000","$427,500","5/9/2023","7","$395.47","0.16"
"https://cdn.photos.sparkplatform.com/tri/20230928055406421220000000-o.jpg?preset=thumb","2508727","Closed","136 Ridge Trail","Village West","2267","1974","4","3","1","Townhouse","$400,000","$429,000","6/14/2023","5","$189.24","0.03"
"https://cdn.photos.sparkplatform.com/tri/20250810201745126582000000-o.jpg?preset=thumb","10115035","Closed","128 Pinnacle Drive","Summit at Homestead","1767","2025","3","2","1","Townhouse","$449,990","$430,000","12/29/2025","0","$243.35","0.05"
"https://cdn.photos.sparkplatform.com/tri/20240711162344867482000000-o.jpg?preset=thumb","10040598","Closed","206 Bellamy Lane","Kentfield","1099","2023","3","2","1","Single Family Residence","$444,500","$430,000","9/11/2024","35","$391.26","0.07"
