edge_idx,scenario,zone,age_group,children
10787,baseline,nearest,0_4,69.48
10226,baseline,nearest,0_4,69.48
10224,baseline,nearest,0_4,68.75
6463,baseline,nearest,0_4,67.92
2209,baseline,nearest,0_4,67.92
2208,baseline,nearest,0_4,66.39
6461,baseline,nearest,0_4,65.8
12202,baseline,nearest,0_4,65.77
12203,baseline,nearest,0_4,64.84
6460,baseline,nearest,0_4,63.38
6368,baseline,nearest,0_4,61.0
6367,baseline,nearest,0_4,60.28
14193,baseline,nearest,0_4,59.39
14196,baseline,nearest,0_4,59.17
6456,baseline,nearest,0_4,59.14
6458,baseline,nearest,0_4,35.69
13130,baseline,nearest,0_4,35.45
12061,baseline,nearest,0_4,33.22
11810,baseline,nearest,0_4,31.34
11809,baseline,nearest,0_4,30.28
11999,baseline,nearest,0_4,25.54
6361,baseline,nearest,0_4,24.81
5059,baseline,nearest,0_4,20.85
5060,baseline,nearest,0_4,19.28
6479,baseline,nearest,0_4,19.0
6478,baseline,nearest,0_4,18.51
12309,baseline,nearest,0_4,18.29
12310,baseline,nearest,0_4,17.62
3414,baseline,nearest,0_4,17.45
3413,baseline,nearest,0_4,15.96
3997,baseline,nearest,0_4,15.44
3996,baseline,nearest,0_4,11.75
13428,baseline,nearest,0_4,11.58
13429,baseline,nearest,0_4,11.29
13595,baseline,nearest,0_4,10.03
11685,baseline,nearest,0_4,9.27
6761,baseline,nearest,0_4,7.04
6360,baseline,nearest,0_4,6.05
6359,baseline,nearest,0_4,0.93
6771,baseline,nearest,0_4,0.82
6770,baseline,nearest,0_4,0.81
6775,baseline,nearest,0_4,0.53
6774,baseline,nearest,0_4,0.07
12173,baseline,nearest,0_4,0.02
3048,baseline,nearest,0_4,0.99
13609,baseline,nearest,0_4,0.34
3046,baseline,nearest,0_4,4.44
13476,baseline,nearest,0_4,4.31
13993,baseline,nearest,0_4,0.11
13628,baseline,nearest,0_4,2.77
14270,baseline,nearest,0_4,2.33
5927,baseline,nearest,0_4,0.14
6218,baseline,nearest,0_4,0.17
14596,baseline,nearest,0_4,0.07
14597,baseline,nearest,0_4,0.05
13182,baseline,nearest,0_4,0.62
13475,baseline,nearest,0_4,0.15
1496,baseline,nearest,0_4,1.23
2352,baseline,nearest,0_4,17.96
2351,baseline,nearest,0_4,4.74
14132,baseline,nearest,0_4,4.57
13777,baseline,nearest,0_4,4.23
13776,baseline,nearest,0_4,4.23
2348,baseline,nearest,0_4,3.75
