scheme,source_zone,destination_magnet,race,count
mae_fit,Rashkis Elementary,Seawell Elementary,two_plus_nh,0.1085718383723128
mae_fit,Scroggs Elementary,Seawell Elementary,white_nh,27.549178850208634
mae_fit,Scroggs Elementary,Seawell Elementary,black_nh,0.3916841116351776
mae_fit,Scroggs Elementary,Seawell Elementary,asian_nh,0.5199076397665713
mae_fit,Scroggs Elementary,Seawell Elementary,hispanic,0.09145527873967457
mae_fit,Scroggs Elementary,Seawell Elementary,aian_nh,0.04480907779527232
mae_fit,Scroggs Elementary,Seawell Elementary,other_nh,0.012986443164105813
mae_fit,Scroggs Elementary,Seawell Elementary,two_plus_nh,0.14075347688448023
rmse_fit,Carrboro Elementary,FPG Elementary,white_nh,5.640645687250001
rmse_fit,Carrboro Elementary,FPG Elementary,black_nh,0.8860434105700922
rmse_fit,Carrboro Elementary,FPG Elementary,asian_nh,0.5981448133522886
rmse_fit,Carrboro Elementary,FPG Elementary,hispanic,13.166390436970369
rmse_fit,Carrboro Elementary,FPG Elementary,aian_nh,5.940648245004605e-07
rmse_fit,Carrboro Elementary,FPG Elementary,other_nh,0.09789204989994695
rmse_fit,Carrboro Elementary,FPG Elementary,two_plus_nh,0.18151655042665107
rmse_fit,Ephesus Elementary,FPG Elementary,white_nh,6.728400541618814
rmse_fit,Ephesus Elementary,FPG Elementary,black_nh,2.1433116969930794
rmse_fit,Ephesus Elementary,FPG Elementary,asian_nh,0.90323359927911
rmse_fit,Ephesus Elementary,FPG Elementary,hispanic,76.14924687441379
rmse_fit,Ephesus Elementary,FPG Elementary,aian_nh,0.0028059408733175253
rmse_fit,Ephesus Elementary,FPG Elementary,nhpi_nh,6.604200821005489e-07
rmse_fit,Ephesus Elementary,FPG Elementary,other_nh,0.05158197196712214
rmse_fit,Ephesus Elementary,FPG Elementary,two_plus_nh,1.3594566832346662
rmse_fit,Estes Hills Elementary,FPG Elementary,white_nh,4.795697541262331
rmse_fit,Estes Hills Elementary,FPG Elementary,black_nh,0.6175839642261775
rmse_fit,Estes Hills Elementary,FPG Elementary,asian_nh,1.0083827543908201
rmse_fit,Estes Hills Elementary,FPG Elementary,hispanic,32.04320650389623
rmse_fit,Estes Hills Elementary,FPG Elementary,aian_nh,0.011483628405581946
rmse_fit,Estes Hills Elementary,FPG Elementary,nhpi_nh,0.014426131421087991
rmse_fit,Estes Hills Elementary,FPG Elementary,other_nh,0.06431141183796894
rmse_fit,Estes Hills Elementary,FPG Elementary,two_plus_nh,1.0263279956557114
rmse_fit,Glenwood Elementary,FPG Elementary,white_nh,1.3352341317284842
rmse_fit,Glenwood Elementary,FPG Elementary,black_nh,0.1968718835884602
rmse_fit,Glenwood Elementary,FPG Elementary,asian_nh,0.1270592216178395
rmse_fit,Glenwood Elementary,FPG Elementary,hispanic,8.02957090891179
rmse_fit,Glenwood Elementary,FPG Elementary,aian_nh,0.10923220252079968
rmse_fit,Glenwood Elementary,FPG Elementary,other_nh,0.0011839005503899724
rmse_fit,Glenwood Elementary,FPG Elementary,two_plus_nh,0.03348054547893575
rmse_fit,McDougle Elementary,FPG Elementary,white_nh,10.061132405779617
rmse_fit,McDougle Elementary,FPG Elementary,black_nh,1.6746238594378213
rmse_fit,McDougle Elementary,FPG Elementary,asian_nh,1.007338403949208
rmse_fit,McDougle Elementary,FPG Elementary,hispanic,96.78613311099063
rmse_fit,McDougle Elementary,FPG Elementary,aian_nh,0.00018432604008951456
rmse_fit,McDougle Elementary,FPG Elementary,other_nh,0.03812844212413603
rmse_fit,McDougle Elementary,FPG Elementary,two_plus_nh,1.040665709739272
rmse_fit,Morris Grove Elementary,FPG Elementary,white_nh,5.232769928037324
rmse_fit,Morris Grove Elementary,FPG Elementary,black_nh,1.3727451203412042
rmse_fit,Morris Grove Elementary,FPG Elementary,asian_nh,1.8808547962589568
rmse_fit,Morris Grove Elementary,FPG Elementary,hispanic,41.110495229119536
rmse_fit,Morris Grove Elementary,FPG Elementary,aian_nh,0.04093431119452343
rmse_fit,Morris Grove Elementary,FPG Elementary,nhpi_nh,0.005117736536134653
rmse_fit,Morris Grove Elementary,FPG Elementary,other_nh,0.031184491027183955
rmse_fit,Morris Grove Elementary,FPG Elementary,two_plus_nh,0.714877902051959
rmse_fit,Northside Elementary,FPG Elementary,white_nh,8.443824724369264
rmse_fit,Northside Elementary,FPG Elementary,black_nh,2.0671333951527004
rmse_fit,Northside Elementary,FPG Elementary,asian_nh,1.3885888014506773
rmse_fit,Northside Elementary,FPG Elementary,hispanic,63.59564737817868
rmse_fit,Northside Elementary,FPG Elementary,aian_nh,0.04843738097043778
rmse_fit,Northside Elementary,FPG Elementary,nhpi_nh,0.0014029226019233224
rmse_fit,Northside Elementary,FPG Elementary,other_nh,0.04818470031267072
rmse_fit,Northside Elementary,FPG Elementary,two_plus_nh,0.6668169857973029
rmse_fit,Rashkis Elementary,FPG Elementary,white_nh,5.059162737079703
rmse_fit,Rashkis Elementary,FPG Elementary,black_nh,0.9776225805882263
rmse_fit,Rashkis Elementary,FPG Elementary,asian_nh,1.8681288741064808
rmse_fit,Rashkis Elementary,FPG Elementary,hispanic,33.084488335341646
rmse_fit,Rashkis Elementary,FPG Elementary,aian_nh,0.0026526982623119467
rmse_fit,Rashkis Elementary,FPG Elementary,other_nh,0.005736080538327886
rmse_fit,Rashkis Elementary,FPG Elementary,two_plus_nh,0.40990185890997044
rmse_fit,Scroggs Elementary,FPG Elementary,white_nh,5.905520211347476
rmse_fit,Scroggs Elementary,FPG Elementary,black_nh,1.4678053950539458
rmse_fit,Scroggs Elementary,FPG Elementary,asian_nh,1.1696410316137738
rmse_fit,Scroggs Elementary,FPG Elementary,hispanic,49.75003848450527
rmse_fit,Scroggs Elementary,FPG Elementary,aian_nh,0.08746591175751371
rmse_fit,Scroggs Elementary,FPG Elementary,other_nh,0.05408365908796029
rmse_fit,Scroggs Elementary,FPG Elementary,two_plus_nh,0.3703467280022955
rmse_fit,Seawell Elementary,FPG Elementary,white_nh,1.9233373086835857
rmse_fit,Seawell Elementary,FPG Elementary,black_nh,0.5700565187089895
rmse_fit,Seawell Elementary,FPG Elementary,asian_nh,0.36792799870465676
rmse_fit,Seawell Elementary,FPG Elementary,hispanic,10.682320118921364
rmse_fit,Seawell Elementary,FPG Elementary,aian_nh,0.008972023364770489
